CIDADES,MESORREGIOES,MICRORREGIOES,ANO,PRODUCAO,ALTITUDE NO NIVEL DO MAR,MEDIA DE PRECIPITACAO TOTAL,MEDIA DE PRESSAO ATMOSFERICA,MEDIA DE RADIACAO GLOBAL,MEDIA DE TEMPERATURA DO AR,MEDIA DE TEMPERATURA DO PONTO DE ORVALHO,MEDIA DE UMIDADE RELATIVA DO AR,MEDIA DE VELOCIDADE DO VENTO
Alfenas,Sul Sudoeste de Minas,Alfenas,2012,1500,882,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Alfenas,Sul Sudoeste de Minas,Alfenas,2013,1980,882,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Alfenas,Sul Sudoeste de Minas,Alfenas,2014,1320,882,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Alfenas,Sul Sudoeste de Minas,Alfenas,2015,1380,882,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Alfenas,Sul Sudoeste de Minas,Alfenas,2016,2250,882,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Alfenas,Sul Sudoeste de Minas,Alfenas,2017,1680,882,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Alfenas,Sul Sudoeste de Minas,Alfenas,2018,2336,882,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Alfenas,Sul Sudoeste de Minas,Alfenas,2019,1757,882,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Alfenas,Sul Sudoeste de Minas,Alfenas,2020,2364,882,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Alfenas,Sul Sudoeste de Minas,Alfenas,2021,1621,882,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Alpinopolis,Sul Sudoeste de Minas,Passos,2012,2700,920,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Alpinopolis,Sul Sudoeste de Minas,Passos,2013,2711,920,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Alpinopolis,Sul Sudoeste de Minas,Passos,2014,1680,920,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Alpinopolis,Sul Sudoeste de Minas,Passos,2015,1820,920,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Alpinopolis,Sul Sudoeste de Minas,Passos,2016,2400,920,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Alpinopolis,Sul Sudoeste de Minas,Passos,2017,2056,920,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Alpinopolis,Sul Sudoeste de Minas,Passos,2018,2232,920,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Alpinopolis,Sul Sudoeste de Minas,Passos,2019,2100,920,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Alpinopolis,Sul Sudoeste de Minas,Passos,2020,2766,920,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Alpinopolis,Sul Sudoeste de Minas,Passos,2021,1680,920,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Alterosa,Sul Sudoeste de Minas,Alfenas,2012,1590,811,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Alterosa,Sul Sudoeste de Minas,Alfenas,2013,1440,811,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Alterosa,Sul Sudoeste de Minas,Alfenas,2014,1200,811,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Alterosa,Sul Sudoeste de Minas,Alfenas,2015,1080,811,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Alterosa,Sul Sudoeste de Minas,Alfenas,2016,1920,811,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Alterosa,Sul Sudoeste de Minas,Alfenas,2017,1800,811,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Alterosa,Sul Sudoeste de Minas,Alfenas,2018,1962,811,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Alterosa,Sul Sudoeste de Minas,Alfenas,2019,1740,811,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Alterosa,Sul Sudoeste de Minas,Alfenas,2020,1980,811,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Alterosa,Sul Sudoeste de Minas,Alfenas,2021,1080,811,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2012,1980,892,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2013,1590,892,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2014,1211,892,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2015,1890,892,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2016,1800,892,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2017,1343,892,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2018,1734,892,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2019,1620,892,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2020,2568,892,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Andradas,Sul Sudoeste de Minas,Pocos de Caldas,2021,1260,892,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Arceburgo,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2012,1500,735,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Arceburgo,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2013,1200,735,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
